x	y\\
207	135\\
207	135\\
207	135\\
209	134\\
209	134\\
209	132\\
210	132\\
210	132\\
210	132\\
212	131\\
212	131\\
212	129\\
214	128\\
212	128\\
212	128\\
214	127\\
214	127\\
214	126\\
216	124\\
216	124\\
213	124\\
214	122\\
214	122\\
214	121\\
215	119\\
215	119\\
215	119\\
214	117\\
214	117\\
214	116\\
214	113\\
214	113\\
214	113\\
215	111\\
212	111\\
212	111\\
211	108\\
211	108\\
211	108\\
211	105\\
211	105\\
208	105\\
207	102\\
207	102\\
207	102\\
206	99\\
206	99\\
206	99\\
202	96\\
202	96\\
202	96\\
200	92\\
200	92\\
200	92\\
198	89\\
195	89\\
195	89\\
193	86\\
193	86\\
193	87\\
191	84\\
191	84\\
188	84\\
185	81\\
185	81\\
185	82\\
183	80\\
183	80\\
183	80\\
176	77\\
176	77\\
176	78\\
173	76\\
173	76\\
173	76\\
170	74\\
167	74\\
167	76\\
164	74\\
164	74\\
164	74\\
161	72\\
161	72\\
158	74\\
154	73\\
154	73\\
154	73\\
151	72\\
151	72\\
151	74\\
145	73\\
145	73\\
145	73\\
142	73\\
142	73\\
142	75\\
139	75\\
136	75\\
136	75\\
134	75\\
134	75\\
134	78\\
131	78\\
131	78\\
129	78\\
127	79\\
127	79\\
127	81\\
125	82\\
125	82\\
125	82\\
120	83\\
120	83\\
120	86\\
118	88\\
118	88\\
118	88\\
117	90\\
115	90\\
115	93\\
114	95\\
114	95\\
114	95\\
113	97\\
113	97\\
111	100\\
111	103\\
111	103\\
111	103\\
111	105\\
111	105\\
111	108\\
109	111\\
109	111\\
109	111\\
109	114\\
109	114\\
109	118\\
110	121\\
108	121\\
108	121\\
109	124\\
109	124\\
109	127\\
110	131\\
110	131\\
109	131\\
111	134\\
111	134\\
111	137\\
113	140\\
113	140\\
113	140\\
114	143\\
114	143\\
114	146\\
116	149\\
116	149\\
116	149\\
119	152\\
118	152\\
118	155\\
120	157\\
120	157\\
120	157\\
123	160\\
123	160\\
123	163\\
126	165\\
126	165\\
126	165\\
129	167\\
129	167\\
129	169\\
132	171\\
132	171\\
132	171\\
136	173\\
136	173\\
136	176\\
139	177\\
139	177\\
139	177\\
142	178\\
142	178\\
142	180\\
145	181\\
145	181\\
145	181\\
148	181\\
148	181\\
148	183\\
