x	y
79.0	75
82.5	77
84.0	78
82.5	82
79.0	87
74.0	90
68.0	96
61.5	103
56.5	107
53.0	113
52.0	118
53.0	121
56.5	125
61.5	128
68.0	129
74.0	130
79.0	129
82.5	126
84.0	123
82.5	119
79.5	113
74.5	108
68.5	102
62.0	96
57.0	89
53.5	83
52.5	78
54.0	73
57.5	69
62.5	66
69.0	64
75.0	64
80.0	64
83.5	66
85.5	69
84.0	74
80.5	79
75.5	84
69.5	91
63.0	98
58.0	104
55.5	111
54.5	116
55.5	121
59.0	127
64.0	130
70.5	132
76.5	135
82.5	134
86.0	132
87.5	131
86.0	127
82.5	122
77.5	119
71.5	113
66.0	107
61.0	103
57.5	97
56.5	92
57.5	89
61.0	85
66.0	82
73.5	83
79.5	83
84.5	83
88.0	88
89.5	91
88.0	95
84.5	103
81.0	108
75.0	114
68.5	124
63.5	130
60.0	136
59.0	145
60.0	150
64.5	154
69.5	160
76.0	162
82.0	163
87.0	165
90.5	163
92.0	160
92.0	159
88.5	154
83.5	149
77.5	146
71.0	140
66.0	133
62.5	130
63.0	125
64.0	120
67.5	118
72.5	115
79.0	113
85.0	116
90.0	116
95.0	118
96.5	123
95.0	127
91.5	132
86.5	139
80.5	145
74.0	152
70.5	160
67.0	166
66.0	171
67.0	178
70.5	182
75.5	185
82.0	188
90.0	189
95.0	188
98.5	187
100.0	184
98.5	180
95.0	176
90.0	171
85.5	165
79.0	159
74.0	152
70.5	146
69.5	142
70.5	137
74.0	133
80.5	129
87.0	127
93.0	127
98.0	127
101.5	129
103.0	132
101.5	135
99.5	140
94.5	145
88.5	150
82.0	157
77.0	163
73.5	168
72.5	173
75.0	178
78.5	180
83.5	183
90.0	185
96.0	184
101.0	183
104.5	181
107.5	176
106.0	172
102.5	167
97.5	160
91.5	154
85.0	148
80.0	138
77.5	132
76.5	127
77.5	120
81.0	116
86.0	113
92.5	108
98.5	108
105.0	108
108.5	107
110.0	110
108.5	114
105.0	116
100.0	121
94.0	127
88.5	131
83.5	137
80.0	143
79.0	145
80.0	150
83.5	154
88.5	153
96.0	155
102.0	156
107.0	152
110.5	150
112.0	147
110.5	140
107.0	135
103.0	130
97.0	121
90.5	115
85.5	108
82.0	99
81.0	94
82.0	89
86.5	83
91.5	80
98.0	78
104.0	75
